course,link,nutrition
juice,https://www.allrecipes.com/recipe/18921/banana-blast-ii/?internalSource=rotd&referringId=16128&referringContentType=Recipe%20Hub,109 cal
juice,https://www.allrecipes.com/recipe/241259/kiwi-banana-apple-smoothie/?internalSource=staff%20pick&referringId=16128&referringContentType=Recipe%20Hub, 232 cal
juice,https://www.allrecipes.com/recipe/244477/refreshing-banana-drink/?internalSource=staff%20pick&referringId=16128&referringContentType=Recipe%20Hub&clickId=cardslot%206,158 cal
juice,https://www.allrecipes.com/recipe/246908/avocado-blueberry-banana-and-chia-smoothie/?internalSource=staff%20pick&referringId=16128&referringContentType=Recipe%20Hub&clickId=cardslot%203,643 cal
juice,https://www.allrecipes.com/recipe/255381/strawberry-banana-avocado-smoothie/?internalSource=staff%20pick&referringId=16128&referringContentType=Recipe%20Hub&clickId=cardslot%202,314 cal
juice,https://www.allrecipes.com/recipe/173730/kale-and-banana-smoothie/?internalSource=streams&referringId=16128&referringContentType=Recipe%20Hub&clickId=st_trending_s,311 cal
juice,https://www.allrecipes.com/recipe/32448/orange-banana-smoothie/?internalSource=streams&referringId=16128&referringContentType=Recipe%20Hub&clickId=st_trending_s,340 cal
